users,text
a_nanshan,@JoeBiden Biden    👇 https://t.co/J75wzhDnxW
amarino68,@JoeBiden Where’s Hunter? #WheresHunter
elainemay60,@JoeBiden https://t.co/N9TfucRfCl
gusby_sharon,RT @mmpadellan: @JoeBiden Makes a whole lot more sense than tearing it down without having anything to replace it during a pandemic.  Thank…
GmcdermottM,RT @mmpadellan: @JoeBiden Makes a whole lot more sense than tearing it down without having anything to replace it during a pandemic.  Thank…
1Commoner,@JoeBiden 🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣
Nanamyra3,RT @natemax: @JoeBiden Don't let those long lines deter you. Republicans are trying to disenfranchise us. Don't let them.  https://t.co/q9a…
houseplan4u,@JoeBiden https://t.co/ZtJfoiqEFV
Jade73611082,@JoeBiden These comments did not pass the vibe check
LLmiiller,@JoeBiden I thought you said you were running for the Senate?
Ladeegem01,RT @mmpadellan: @JoeBiden Makes a whole lot more sense than tearing it down without having anything to replace it during a pandemic.  Thank…
fclruk,"@JoeBiden If you run for the presidency, I want you to make me live in the United States and continue my studies there."
Budriss1,@JoeBiden @KamalaHarris @SenKamalaHarris WTF?!?!?!?! And these are Hunter (Robert) Biden's emails!!!! #Election2020… https://t.co/vGvR1hjI63
Chicocal,@JoeBiden The Unaffordable healthcare act
bmr_bobby,@JoeBiden https://t.co/xCpRODKYtt
NoahWilliams4,@JoeBiden I could afford my insurance until Obamacare but when the government created a subsidised industrial monop… https://t.co/i4mkrblGZ1
JanTate18324711,"RT @ShingoYoungstar: @JoeBiden Boy if you call money that I earned and you took ""a handout"" one more time"
FleeseMatt,@JoeBiden Are you going to pack the courts?
pepelelux,RT @RupaliChadhaMD: @JoeBiden Obamacare is harmful to patients on an epic level... especially those in the middle classes! Health insurance…
shawnpgore,@JoeBiden Lies
cgarrett101,"RT @FOOL_NELSON: @JoeBiden met with @georgesoros and Special Envoy and Coordinator of International Energy Affairs @amoshochstein, at the @…"
PrimeXvii,RT @HKrassenstein: @JoeBiden Rudy Giuliani is fabricating emails to smear Joe Biden. https://t.co/wR4yQJkevq
mamasneverwrong,@JoeBiden Just stood in line all morning to cast my blue vote in Georgia
GinaArc93737728,@JoeBiden Obamacare is a disaster
